county,population_2019,land_area,pop_dens
Adams,19983,"1,925",10.38077922
Asotin,22582,636,35.50628931
Benton,204390,"1,700",120.2294118
Chelan,77200,"2,920",26.43835616
Clallam,77331,"1,738",44.49424626
Clark,488241,629,776.217806
Columbia,3985,869,4.585730725
Cowlitz,110593,"1,139",97.09657594
Douglas,43429,"1,819",23.87520616
Ferry,7627,"2,204",3.460526316
Franklin,95222,"1,242",76.66827697
Garfield,2225,710,3.133802817
Grant,97733,"2,680",36.46753731
Grays Harbor,75061,"1,902",39.46424816
Island,85141,209,407.3732057
Jefferson,32221,"1,804",17.86086475
King,2252782,"2,115",1065.145154
Kitsap,271473,395,687.2734177
Kittitas,47935,"2,297",20.86852416
Klickitat,22425,"1,872",11.97916667
Lewis,80707,"2,403",33.58593425
Lincoln,10939,"2,311",4.733448723
Mason,66768,959,69.62252346
Okanogan,42243,"5,268",8.018792711
Pacific,22471,933,24.0846731
Pend Oreille,13724,"1,400",9.802857143
Pierce,904980,"1,670",541.9041916
San Juan,17582,174,101.045977
Skagit,129205,"1,731",74.64182553
Skamania,12083,"1,656",7.296497585
Snohomish,822083,"2,087",393.9065644
Spokane,522798,"1,764",296.3707483
Stevens,45723,"2,478",18.45157385
Thurston,290536,722,402.4044321
Wahkiakum,4488,264,17
Walla Walla,60760,"1,270",47.84251969
Whatcom,229247,"2,107",108.8025629
Whitman,50104,"2,159",23.2070403
Yakima,250873,"4,296",58.39688082
